First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Charles,Breitenberg,AB187313C,2022 to 2023,635.30
Alivia,Leuschke,AB579139C,2022 to 2023,454.16
Jerod,Doyle,AB948415C,2022 to 2023,612.72
Brooke,Homenick,AB240652C,2022 to 2023,562.52
Monserrate,Kemmer,AB307158C,2022 to 2023,679.92
Jordan,Rogahn,AB833023C,2022 to 2023,972.87
Daisha,Miller,AB283265C,2022 to 2023,856.08
Maximus,Grady,AB983874C,2022 to 2023,646.22
Brandon,Howe,AB552946C,2022 to 2023,590.45
Frederique,Moore,AB816616C,2022 to 2023,649.58
Alexis,O'Reilly,AB274277C,2022 to 2023,679.40
Elmore,Ortiz,AB333767C,2022 to 2023,461.88
Russ,Wunsch,AB127908C,2022 to 2023,301.66
Keagan,Thiel,AB348671C,2022 to 2023,389.29
Frederic,Schoen,AB169016C,2022 to 2023,783.90
Rodrigo,Mohr,AB582945C,2022 to 2023,856.26
Addie,Labadie,AB644347C,2022 to 2023,557.87
Sierra,Kling,AB570734C,2022 to 2023,185.77
Sierra,Beer,AB535229C,2022 to 2023,328.74
Vivian,Maggio,AB774180C,2022 to 2023,23.48
Retta,Kerluke,AB884732C,2022 to 2023,930.22
Citlalli,Krajcik,AB561228C,2022 to 2023,74.97
Dillon,Kunde,AB864577C,2022 to 2023,267.14
Mozelle,Medhurst,AB750949C,2022 to 2023,821.01
Isidro,Grimes,AB410532C,2022 to 2023,358.02
Katelin,Beer,AB965558C,2022 to 2023,961.73
Glenna,Senger,AB438641C,2022 to 2023,566.71
Saul,Langosh,AB625846C,2022 to 2023,85.57
Eve,Denesik,AB377337C,2022 to 2023,28.15
Evelyn,Koepp,AB958822C,2022 to 2023,554.98
Alexandrine,Blick,AB757094C,2022 to 2023,66.31
Marilie,Morissette,AB650824C,2022 to 2023,347.79
Sydnee,Bosco,AB428206C,2022 to 2023,778.28
Lora,Pouros,AB187035C,2022 to 2023,443.78
Lafayette,Ankunding,AB944750C,2022 to 2023,556.95
Heber,Rice,AB947191C,2022 to 2023,188.64
Santina,Crona,AB488287C,2022 to 2023,744.19
Kayleigh,Torphy,AB842227C,2022 to 2023,511.15
Vidal,Bruen,AB777223C,2022 to 2023,621.18
Kaylin,Murazik,AB737596C,2022 to 2023,236.97
Brock,Abernathy,AB122143C,2022 to 2023,363.45
Melvin,Powlowski,AB375333C,2022 to 2023,485.27
Lorenza,Harvey,AB856125C,2022 to 2023,437.13
Axel,Braun,AB992328C,2022 to 2023,219.05
Abby,McDermott,AB829312C,2022 to 2023,74.17
Floy,Kshlerin,AB665267C,2022 to 2023,200.52
Carissa,Schuster,AB561506C,2022 to 2023,198.45
Clementine,Howe,AB449663C,2022 to 2023,462.63
Walter,Stanton,AB180412C,2022 to 2023,935.90
Josephine,Lockman,AB303876C,2022 to 2023,722.74
Chauncey,Heidenreich,AB367027C,2022 to 2023,44.01
Annetta,Lind,AB195977C,2022 to 2023,171.73
Arch,Heathcote,AB976719C,2022 to 2023,232.33
Darrell,Kulas,AB912223C,2022 to 2023,471.32
Imogene,Kilback,AB549467C,2022 to 2023,370.31
Devante,Kertzmann,AB913745C,2022 to 2023,440.33
Oral,Hintz,AB275260C,2022 to 2023,706.20
Kiley,Hessel,AB332186C,2022 to 2023,158.68
Krystel,Tremblay,AB531273C,2022 to 2023,22.59
Quinten,Huel,AB686944C,2022 to 2023,530.55
Delores,Casper,AB268327C,2022 to 2023,169.55
Elvera,Ward,AB732072C,2022 to 2023,992.54
Jeramy,Wiza,AB466562C,2022 to 2023,831.38
Dayna,D'Amore,AB409179C,2022 to 2023,283.60
Zane,Schuppe,AB266948C,2022 to 2023,490.18
Violette,Denesik,AB276586C,2022 to 2023,825.95
Omer,Kulas,AB457270C,2022 to 2023,388.08
Lola,McLaughlin,AB406012C,2022 to 2023,906.22
Gerry,Willms,AB152324C,2022 to 2023,964.94
Roselyn,Hauck,AB432834C,2022 to 2023,878.94
Mathilde,DuBuque,AB346236C,2022 to 2023,851.67
Loren,Mertz,AB378082C,2022 to 2023,891.73
