First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Morris,Abernathy,AB316643C,2022 to 2023,284.43
Edd,Pacocha,AB610890C,2022 to 2023,921.01
Brennan,Mills,AB700847C,2022 to 2023,248.15
Dena,Cummerata,AB831011C,2022 to 2023,813.79
Jany,Kunze,AB241712C,2022 to 2023,972.23
Garth,Bogisich,AB461759C,2022 to 2023,783.78
Lea,Runte,AB335607C,2022 to 2023,356.78
Araceli,Mitchell,AB639475C,2022 to 2023,347.00
Kiana,Stracke,AB875688C,2022 to 2023,946.91
Monty,Welch,AB325927C,2022 to 2023,450.21
Erick,Krajcik,AB268633C,2022 to 2023,504.26
Alf,Roberts,AB860504C,2022 to 2023,904.88
Lizeth,Oberbrunner,AB334833C,2022 to 2023,725.92
Erik,Padberg,AB807954C,2022 to 2023,834.96
Thaddeus,Connelly,AB274867C,2022 to 2023,695.43
Lavina,Brekke,AB441776C,2022 to 2023,671.25
Mandy,Turner,AB706280C,2022 to 2023,591.48
Myra,White,AB850043C,2022 to 2023,739.95
Phyllis,White,AB487667C,2022 to 2023,764.43
Pierre,Zulauf,AB838990C,2022 to 2023,696.64
Rosario,West,AB496308C,2022 to 2023,498.16
Abel,Kreiger,AB625166C,2022 to 2023,556.31
Jarrett,Zieme,AB910279C,2022 to 2023,482.68
Jordy,Wolff,AB372000C,2022 to 2023,996.72
Loyce,Conroy,AB221375C,2022 to 2023,839.44
Marlin,Cartwright,AB177624C,2022 to 2023,473.06
Hal,Nader,AB472901C,2022 to 2023,468.89
Jon,Nitzsche,AB397613C,2022 to 2023,693.43
Raymundo,Morissette,AB851266C,2022 to 2023,782.61
Domenick,Wunsch,AB613199C,2022 to 2023,438.61
Clyde,Cummings,AB477453C,2022 to 2023,30.55
Gilbert,McLaughlin,AB610152C,2022 to 2023,903.18
Nikolas,Braun,AB989399C,2022 to 2023,942.33
Raymond,Green,AB464031C,2022 to 2023,547.35
Israel,Hagenes,AB987437C,2022 to 2023,829.16
Tony,Becker,AB598488C,2022 to 2023,465.82
Derek,Williamson,AB128484C,2022 to 2023,227.84
Murl,Hagenes,AB142727C,2022 to 2023,734.59
Jason,Hane,AB253981C,2022 to 2023,77.49
Karen,Breitenberg,AB161498C,2022 to 2023,853.90
Destiny,Hoppe,AB338620C,2022 to 2023,833.23
Ferne,Turcotte,AB567246C,2022 to 2023,241.66
Esperanza,Hilll,AB623880C,2022 to 2023,943.40
Madie,Green,AB540584C,2022 to 2023,786.86
Maximillia,Keebler,AB985391C,2022 to 2023,985.06
Pietro,Reichert,AB710828C,2022 to 2023,549.67
Marcos,Hilpert,AB669933C,2022 to 2023,207.58
Norwood,Halvorson,AB637087C,2022 to 2023,529.82
Linwood,Orn,AB936423C,2022 to 2023,528.37
Caterina,Tremblay,AB389025C,2022 to 2023,8.39
Liana,Lubowitz,AB217648C,2022 to 2023,196.19
Joshua,Donnelly,AB515265C,2022 to 2023,796.80
Annamae,Dickens,AB315732C,2022 to 2023,428.07
Kendrick,Beier,AB337283C,2022 to 2023,625.01
Olen,Wyman,AB163891C,2022 to 2023,610.09
Chaim,Bechtelar,AB424707C,2022 to 2023,514.97
Mohamed,Hintz,AB692511C,2022 to 2023,928.12
Mercedes,Gottlieb,AB918799C,2022 to 2023,254.40
Mckayla,Vandervort,AB924101C,2022 to 2023,853.32
Waylon,Weber,AB551414C,2022 to 2023,459.44
Lorenz,Kreiger,AB164979C,2022 to 2023,598.38
Billie,Gleason,AB911907C,2022 to 2023,921.73
Narciso,Konopelski,AB699449C,2022 to 2023,748.73
Roy,Kihn,AB165329C,2022 to 2023,444.30
Brennan,Reinger,AB367828C,2022 to 2023,16.56
Elizabeth,Rolfson,AB464347C,2022 to 2023,13.84
Isaias,Macejkovic,AB721194C,2022 to 2023,13.97
Joana,Bradtke,AB193832C,2022 to 2023,228.02
Holly,Kuhn,AB895950C,2022 to 2023,676.87
Tessie,Auer,AB182716C,2022 to 2023,904.65
Katelyn,Schoen,AB141547C,2022 to 2023,970.56
Erik,Kuvalis,AB364283C,2022 to 2023,275.86
Reed,Blick,AB917070C,2022 to 2023,179.46
Evans,Mills,AB142362C,2022 to 2023,555.97
Stephon,Weber,AB577042C,2022 to 2023,253.14
Louisa,Gaylord,AB252153C,2022 to 2023,486.85
Tomasa,Stoltenberg,AB686974C,2022 to 2023,969.29
Adrien,Rowe,AB516870C,2022 to 2023,330.18
Chester,Kertzmann,AB798469C,2022 to 2023,23.65
Douglas,Price,AB976339C,2022 to 2023,298.69
Nathaniel,Ankunding,AB126605C,2022 to 2023,888.77
Bobby,Daugherty,AB592029C,2022 to 2023,401.46
Davon,Padberg,AB264580C,2022 to 2023,591.72
Nickolas,O'Reilly,AB524639C,2022 to 2023,306.12
Millie,Turner,AB621029C,2022 to 2023,243.18
Letitia,Weissnat,AB222498C,2022 to 2023,816.45
Hilton,Satterfield,AB399631C,2022 to 2023,558.05
Bria,Gutkowski,AB210325C,2022 to 2023,730.68
Enrico,Ryan,AB760071C,2022 to 2023,775.21
Domingo,Stracke,AB308188C,2022 to 2023,564.38
Leland,Block,AB335426C,2022 to 2023,262.16
Jacinto,Mertz,AB870156C,2022 to 2023,469.14
Graham,Heathcote,AB383983C,2022 to 2023,76.09
Terrell,Ruecker,AB247273C,2022 to 2023,164.33
Jaylan,Durgan,AB703420C,2022 to 2023,630.95
Shana,Roob,AB993140C,2022 to 2023,142.93
Kian,Johns,AB681210C,2022 to 2023,532.12
Kamron,Schmeler,AB179057C,2022 to 2023,582.77
Tristin,Hoppe,AB576958C,2022 to 2023,74.81
Armand,Pfannerstill,AB260069C,2022 to 2023,968.32
Kenya,Douglas,AB428823C,2022 to 2023,23.71
Woodrow,Jenkins,AB145857C,2022 to 2023,500.12
Obie,Hammes,AB549646C,2022 to 2023,268.25
Gardner,Heller,AB233641C,2022 to 2023,397.27
Kelvin,O'Reilly,AB113776C,2022 to 2023,138.68
Felicia,Swaniawski,AB863582C,2022 to 2023,176.20
Lizeth,Beier,AB917283C,2022 to 2023,396.08
Ora,Bernhard,AB704297C,2022 to 2023,895.74
Shanna,Tromp,AB560863C,2022 to 2023,765.70
Helen,Robel,AB810254C,2022 to 2023,161.14
Abraham,Graham,AB847381C,2022 to 2023,111.15
Dimitri,Dicki,AB609431C,2022 to 2023,234.29
Gerry,Runolfsdottir,AB267441C,2022 to 2023,214.74
Alicia,Walker,AB832034C,2022 to 2023,365.06
Ofelia,Stehr,AB411107C,2022 to 2023,407.47
Adam,Willms,AB554772C,2022 to 2023,293.19
Rosalinda,Quigley,AB961127C,2022 to 2023,625.24
Davonte,Champlin,AB364855C,2022 to 2023,804.36
Alexandria,Lowe,AB113704C,2022 to 2023,502.04
Blair,Mann,AB961204C,2022 to 2023,627.52
Rashad,Carroll,AB682133C,2022 to 2023,223.13
Genoveva,Becker,AB293475C,2022 to 2023,896.30
Earl,Dickinson,AB687555C,2022 to 2023,889.01
Loyce,Beahan,AB474549C,2022 to 2023,204.52
Alyce,Mertz,AB362550C,2022 to 2023,135.87
Zora,Kuhic,AB370534C,2022 to 2023,328.07
Kurtis,Mosciski,AB515624C,2022 to 2023,283.29
Abigail,Gutkowski,AB431676C,2022 to 2023,172.03
Reba,Schuster,AB379911C,2022 to 2023,318.67
Ollie,Konopelski,AB644386C,2022 to 2023,610.27
Nikko,Walter,AB458676C,2022 to 2023,757.07
Cristina,Botsford,AB532017C,2022 to 2023,24.08
Delaney,Spencer,AB332413C,2022 to 2023,670.53
Guiseppe,Beier,AB365208C,2022 to 2023,81.62
Kali,Gleason,AB214491C,2022 to 2023,824.10
Jaiden,Rosenbaum,AB751091C,2022 to 2023,1.74
Darien,Denesik,AB755495C,2022 to 2023,983.56
Claudia,Thiel,AB720126C,2022 to 2023,499.67
Kirstin,Schulist,AB457631C,2022 to 2023,751.88
Geovany,Ledner,AB704698C,2022 to 2023,689.43
Moriah,Okuneva,AB549797C,2022 to 2023,648.67
Austyn,Stamm,AB218995C,2022 to 2023,335.74
Rebeka,Koepp,AB527876C,2022 to 2023,151.86
Peggie,Flatley,AB843250C,2022 to 2023,919.77
Jolie,Dietrich,AB204933C,2022 to 2023,405.15
Brianne,Moore,AB472007C,2022 to 2023,965.08
Aaron,Keeling,AB342403C,2022 to 2023,674.28
Diana,Gutmann,AB670109C,2022 to 2023,626.66
Nelson,Wisozk,AB360712C,2022 to 2023,968.81
Lenora,Windler,AB314732C,2022 to 2023,140.39
Rhoda,Powlowski,AB819760C,2022 to 2023,288.53
Jaquelin,Rutherford,AB708160C,2022 to 2023,655.96
Manuel,Lind,AB891267C,2022 to 2023,988.04
