First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Mathias,Romaguera,AB490944C,Fixed protection 2016,59279768,257.79,2022-11-04
Keith,Tromp,AB845109C,Individual protection 2014,70531837,55.32,2022-11-02
Gayle,Wisozk,AB318972C,Individual protection 2014,86649012,7.32,2022-11-07
Vilma,Nicolas,AB310590C,Enhanced protection,30862379,392.08,2022-11-01
Mikel,Wiegand,AB898662C,Fixed protection 2014,30834055,431.65,2022-11-04
Marilou,Rempel,AB479603C,Fixed protection 2016,62775113,220.52,2022-11-01
Furman,Hettinger,AB102563C,Enhanced protection,30937266,385.58,2022-11-04
Haylee,Effertz,AB533863C,Individual protection 2014,81844751,514.69,2022-11-04
Tressa,Erdman,AB434535C,Enhanced lifetime allowance,98009375,544.32,2022-11-06
Nicolette,Kuhn,AB320327C,Individual protection 2014,84297834,307.66,2022-11-03
Tito,Sipes,AB156715C,Individual protection 2016,89338932,625.39,2022-11-04
Sabrina,Romaguera,AB840420C,Enhanced protection,85357722,944.09,2022-11-02
Shanna,Stracke,AB227606C,Fixed protection 2014,48262846,123.53,2022-11-05
Kelley,Braun,AB985710C,Enhanced protection,54113669,58.89,2022-11-03
Bud,Zieme,AB754244C,Enhanced lifetime allowance,50186051,68.77,2022-11-07
Jules,Maggio,AB800545C,Individual protection 2014,18678847,893.30,2022-11-05
Chance,Schoen,AB427251C,Fixed protection 2016,34541544,244.47,2022-11-01
Karine,Beier,AB222445C,Fixed protection 2014,54724515,721.97,2022-11-05
Brycen,Toy,AB867928C,Fixed protection 2016,33616681,346.91,2022-11-05
Marisa,O'Conner,AB334553C,Fixed protection 2014,71472819,459.58,2022-11-04
Zakary,Heaney,AB907386C,Individual protection 2014,54708580,827.29,2022-11-03
Daisha,Lueilwitz,AB144993C,Individual protection 2016,95448513,203.42,2022-11-04
Kylee,Funk,AB716361C,Individual protection 2014,36471545,690.92,2022-11-02
Mable,Greenfelder,AB111752C,Fixed protection,53030440,396.23,2022-11-04
Luciano,Witting,AB222841C,Enhanced protection,65942265,510.34,2022-11-06
Odell,Carter,AB540353C,Fixed protection,98197488,918.03,2022-11-08
Alverta,Connelly,AB171365C,Enhanced protection,95836016,910.23,2022-11-04
Johnathan,Welch,AB554443C,Individual protection 2016,60554338,183.32,2022-11-06
Reyna,Treutel,AB503716C,Fixed protection 2014,38747714,938.22,2022-11-05
Myrtis,Runte,AB649047C,Individual protection 2014,17817747,97.65,2022-11-08
